title,url,abstract,published,source,entities
Lego sales increase while other toy makers struggle,https://www.cnbc.com/2023/08/30/lego-earnings-revenue-rises-in-first-half.html,"While other toy companies have been hammered by a slump in toy demand this year, Lego is one of the few to post positive gains.",2023-08-30T07:00:01.000000,"Source(id='cnbc-business', name='CNBC Business', channel=<Channel.RSS: 'RSS'>)","Lego:ORG, this year:DATE, Lego:PERSON, one:CARDINAL"
Here are the 3 most-used drugs on the Medicare price negotiation list,https://www.cnbc.com/2023/08/29/most-used-drugs-on-medicare-price-negotiation-list-see-the-top-three.html,"The Biden administration unveiled the much-awaited list Tuesday, officially kicking off a process that aims to control rising drug costs in the U.S.",2023-08-29T23:22:41.000000,"Source(id='cnbc-business', name='CNBC Business', channel=<Channel.RSS: 'RSS'>)","3:CARDINAL, Medicare:ORG, Biden:PERSON, Tuesday:DATE, U.S.:GPE"
"Under Armour founder used TV anchor's advice when facing negative coverage, records show",https://www.cnbc.com/2023/08/29/under-armour-founder-kevin-plank-stephanie-ruhle.html,"The Plank-Ruhle relationship included private jet rides and access to confidential company information, according to court filings.",2023-08-29T21:42:19.000000,"Source(id='cnbc-business', name='CNBC Business', channel=<Channel.RSS: 'RSS'>)","Armour:PERSON, The Plank-Ruhle:ORG"
Regional banks face another hit as regulators force them to raise debt levels,https://www.cnbc.com/2023/08/29/regional-banks-to-be-forced-to-raise-debt-in-case-of-failure.html,All American banks with at least $100 billion in assets would be subject to the new requirement.,2023-08-29T19:30:11.000000,"Source(id='cnbc-business', name='CNBC Business', channel=<Channel.RSS: 'RSS'>)","American:NORP, at least $100 billion:MONEY"
Tesla Leads Race to Draw Federal Money for Charging Networks,https://www.wsj.com/articles/tesla-leads-race-to-draw-federal-money-for-charging-networks-85a058dd?mod=pls_whats_news_us_business_f,Elon Musk’s company is beating out rivals to win millions of dollars in grant awards.,2023-09-02T09:30:00.000000,"Source(id='wsj-business', name='The Wall Street Journal Business', channel=<Channel.RSS: 'RSS'>)","Elon Musk’s:PERSON, millions of dollars:MONEY"
"The Man Who Has Detroit, Wall Street and the White House on Edge",https://www.wsj.com/articles/uaw-union-strike-shaw-fain-detroit-president-eb1bdd3f?mod=pls_whats_news_us_business_f,"United Auto Workers President Shawn Fain is throwing out the traditional union playbook and preparing for a strike, possibly against three automakers at once.",2023-09-02T04:02:00.000000,"Source(id='wsj-business', name='The Wall Street Journal Business', channel=<Channel.RSS: 'RSS'>)","Detroit:GPE, the White House:ORG, United Auto Workers:ORG, Shawn Fain:PERSON, three:CARDINAL"
U.S. Arms Makers Look Overseas to Boost Stockpiles,https://www.wsj.com/articles/u-s-arms-makers-look-overseas-to-boost-stockpiles-1e1d6eac?mod=pls_whats_news_us_business_f,"With demand for weapons surging in Ukraine and concerns rising about China, the Pentagon is supporting ‘friend-shoring’ manufacturing lines abroad.",2023-09-02T12:00:00.000000,"Source(id='wsj-business', name='The Wall Street Journal Business', channel=<Channel.RSS: 'RSS'>)","U.S.:GPE, Boost Stockpiles:PERSON, Ukraine:GPE, China:GPE, Pentagon:ORG"
"Spectrum Customers Lose ESPN as U.S. Open, College Football Heat Up",https://www.wsj.com/articles/why-spectrum-customers-cant-watch-the-u-s-open-and-college-football-cfc24af9?mod=pls_whats_news_us_business_f,"Charter Communications subscribers are caught in the middle of a philosophical fight between the cable giant and Disney, parent company of ESPN, ABC and several other networks.",2023-09-01T19:52:00.000000,"Source(id='wsj-business', name='The Wall Street Journal Business', channel=<Channel.RSS: 'RSS'>)","Lose ESPN:PERSON, U.S. Open:ORG, Disney:ORG, ESPN:ORG, ABC:ORG"
Amgen's Deal for Horizon Therapeutics Clears Key Hurdle,https://www.wsj.com/articles/ftc-settles-with-amgen-over-27-8-billion-deal-for-horizon-therapeutics-b96a2d69?mod=pls_whats_news_us_business_f,The Federal Trade Commission said it had agreed to end its legal challenge of the $27.8 billion deal. The pact also dismisses the antitrust claims of six states that joined the FTC in seeking to block the transaction.,2023-09-01T18:55:00.000000,"Source(id='wsj-business', name='The Wall Street Journal Business', channel=<Channel.RSS: 'RSS'>)","Amgen:ORG, Deal for Horizon Therapeutics Clears Key Hurdle:ORG, The Federal Trade Commission:ORG, $27.8 billion:MONEY, six:CARDINAL, FTC:ORG"
Walgreens Chief Executive Steps Down,https://www.wsj.com/articles/walgreens-chief-executive-roz-brewer-steps-down-4fbd1733?mod=pls_whats_news_us_business_f,Rosalind Brewer has stepped down less than three years after taking the helm of the pharmacy operator.,2023-09-01T14:17:00.000000,"Source(id='wsj-business', name='The Wall Street Journal Business', channel=<Channel.RSS: 'RSS'>)","Rosalind Brewer:PERSON, less than three years:DATE"
Stock Funds' 2023 Gain Is Trimmed to 13.7%,https://www.wsj.com/articles/stock-fund-gains-trimmed-6bb617c7?mod=rss_markets_main,"The average U.S.-stock fund declined 2.6% in August, but losses were worse before a late-month advance.",2023-09-03T16:00:00.000000,"Source(id='wsj-markets', name='The Wall Street Journal Markets', channel=<Channel.RSS: 'RSS'>)","2023:DATE, 13.7%:PERCENT, U.S.-stock:ORG, 2.6%:PERCENT, August:DATE, late-month:DATE"
Municipal-Bond Investors Pay a Hefty Price for Not Being Taxed,https://www.wsj.com/articles/municipal-bonds-tax-free-price-74d4bbcf?mod=rss_markets_main,A new study suggests that “investors overvalue the pleasure” of tax-exemption.,2023-09-03T15:00:00.000000,"Source(id='wsj-markets', name='The Wall Street Journal Markets', channel=<Channel.RSS: 'RSS'>)",""
The Disappointing Bet That Could Turn Into the Biggest IPO of the Year,https://www.wsj.com/articles/the-disappointing-bet-that-could-turn-into-the-biggest-ipo-of-the-year-3406c6dc?mod=rss_markets_main,SoftBank’s lofty ambitions for chip maker Arm have fallen short. Now the market is about to issue its verdict on the deal.,2023-09-03T09:30:00.000000,"Source(id='wsj-markets', name='The Wall Street Journal Markets', channel=<Channel.RSS: 'RSS'>)","the Year:DATE, SoftBank:ORG"
Roth vs. Traditional 401(k): Where to Put Your Money for Retirement?,https://www.wsj.com/articles/roth-401k-versus-traditional-retirement-1120bd9f?mod=rss_markets_main,Thousands of companies have added Roth 401(k)s to their retirement plans. Getting the math right is proving tricky.,2023-09-03T01:00:00.000000,"Source(id='wsj-markets', name='The Wall Street Journal Markets', channel=<Channel.RSS: 'RSS'>)","Roth:PERSON, Put Your Money for Retirement:WORK_OF_ART, Thousands:CARDINAL, Roth:PERSON"
